,Ticker,Company Name,Industry,Country,Market Cap
5148,KMB,Kimberly-Clark Corp,Consumer products,US,42702.46789187301
5150,KMI,Kinder Morgan Inc,Energy ,US,41049.6735170941
5154,KMX,Carmax Inc,Retail,US,13936.574085578995
5160,KO,Coca-Cola Co,Beverages,US,264451.05761768064
5166,KR,Kroger Co,Retail,US,34654.5888529027
5167,KRC,Kilroy Realty Corp,Real Estate,US,11198.57639
5181,L,Loews Corp,Insurance,US,13355.710758230049
5193,LDOS,Leidos Holdings Inc,Professional Services,US,12795.22249763086
5199,LEN,Lennar Corp,Consumer products,US,22095.138530060787
5208,LH,Laboratory Corporation of America Holdings,Health Care,US,20406.896014910828
5210,LHX,L3harris Technologies Inc,Aerospace & Defense,US,43475.43659633039
5217,LLY,Eli Lilly and Co,Pharmaceuticals,US,286316.1784193617
5219,LMT,Lockheed Martin Corp,Aerospace & Defense,US,110984.7615815442
5227,LOW,Lowe's Companies Inc,Retail,US,121353.16337797376
5233,LSI,Life Storage Inc,Real Estate,US,11078.072861
5239,LUMN,Lumen Technologies Inc,Telecommunication,US,10198.093544841113
5240,LUV,Southwest Airlines Co,Airlines,US,21799.68546636036
5241,LVS,Las Vegas Sands Corp,"Hotels, Restaurants & Leisure",US,27670.091757438146
5242,LW,Lamb Weston Holdings Inc,Food Products,US,11245.427138095823
5248,LYV,Live Nation Entertainment Inc,Media,US,20614.67434728559
5251,MA,Mastercard Inc,Technology,US,311714.27072610793
5252,MAA,Mid-America Apartment Communities Inc,Real Estate,US,19274.821171
5258,MAS,Masco Corp,Building,US,11244.41001563364
5269,MCD,McDonald's Corp,"Hotels, Restaurants & Leisure",US,187247.3916018625
5272,MCK,Mckesson Corp,Health Care,US,52292.01165951812
5274,MCO,Moody's Corp,Financial Services,US,52187.39977785899
5290,MET,MetLife Inc,Insurance,US,51892.784653235336
5301,MGM,MGM Resorts International,"Hotels, Restaurants & Leisure",US,12917.33670115069
5321,MKC,McCormick & Company Inc,Food Products,US,22281.519131428817
