Ticker,Company Name,Industry,Country,Market Cap
LOOP,Loop Industries Inc,Chemicals,CA,241.74363564356437
LOPE,Grand Canyon Education Inc,Diversified Consumer Services,US,2591.5596388694585
LOTZ,Carlotz Inc,Retail,US,45.527488114499995
LOV,Spark Networks SE,Media,DE,68.314058
LOVE,Lovesac Co,Consumer products,US,448.00766282677426
LPCN,Lipocine Inc,Pharmaceuticals,US,50.44229889531492
LPLA,LPL Financial Holdings Inc,Financial Services,US,17489.526695701665
LPRO,Open Lending Corp,Financial Services,US,1185.2578702825397
LPSN,LivePerson Inc,Technology,US,807.8830489524262
LPTH,LightPath Technologies Inc,Electrical Equipment,US,39.8940143105572
LPTX,Leap Therapeutics Inc,Biotechnology,US,147.54184744755244
LQDA,Liquidia Corp,Pharmaceuticals,US,377.16329503703696
LQDT,Liquidity Services Inc,Retail,US,607.4271655844537
LRCX,Lam Research Corp,Semiconductors,US,58933.519578908075
LRFC,Logan Ridge Finance Corp,Financial Services,US,53.6
LRMR,Larimar Therapeutics Inc,Biotechnology,US,48.88083879069767
LSAK,Lesaka Technologies Inc,Technology,ZA,311.2791522913385
LSBK,Lake Shore Bancorp Inc,Financial Services,US,74.42693109925926
LSCC,Lattice Semiconductor Corp,Semiconductors,US,7174.801906632165
LSEA,Landsea Homes Corp,Consumer products,US,268.88104632589284
LSPR,Larkspur Health Acquisition Corp,N/A,US,100.09162152681992
LSTR,Landstar System Inc,Road & Rail,US,5289.98530485183
LTBR,Lightbridge Corp,Energy ,US,61.06302291575091
LTCH,Latch Inc,Technology,US,136.20297161584156
LTRN,Lantern Pharma Inc.,Biotechnology,US,56.320922022703826
LTRX,Lantronix Inc,Communications,US,213.63015592478635
LTRY,Lottery.com Inc,"Hotels, Restaurants & Leisure",US,17.192683068066998
LUCD,Lucid Diagnostics Inc,Health Care,US,77.90829215609757
LUCY,Innovative Eyewear Inc,Health Care,US,35.07
LULU,Lululemon Athletica Inc,"Textiles, Apparel & Luxury Goods",CA,41736.165600576074
LUMO,Lumos Pharma Inc,Biotechnology,US,70.52701350527552
LUNA,Luna Innovations Inc,Electrical Equipment,US,184.0627165252174
LUNG,Pulmonx Corp,Health Care,US,676.7950053477557
LUXA,Lux Health Tech Acquisition Corp,N/A,US,430.1718870060181
LVAC,LAVA Medtech Acquisition Corp,N/A,US,143.606247
LVLU,Lulu's Fashion Lounge Holdings Inc,Retail,US,240.59388288118814
LVO,LiveOne Inc,Media,US,84.15310139257961
LVOX,LiveVox Holdings Inc,Technology,US,235.698781697479
LVRA,Levere Holdings Corp,N/A,KY,334.35914204759484
LVTX,LAVA Therapeutics NV,Biotechnology,NL,61.86129223140496
LWAY,Lifeway Foods Inc,Food Products,US,95.26246234650338
LWLG,Lightwave Logic Inc,Electrical Equipment,US,848.4918813459037
LX,Lexinfintech Holdings Ltd,Financial Services,CN,366.93429
LXEH,Lixiang Education Holding Co Ltd,N/A,CN,48.000239
LXRX,Lexicon Pharmaceuticals Inc,Biotechnology,US,499.46203211594207
LYEL,Lyell Immunopharma Inc,Biotechnology,US,1705.0383570726256
LYFT,Lyft Inc,Road & Rail,US,5150.058218050443
LYL,Dragon Victory International Ltd,Financial Services,CN,21.26316192898644
LYLT,Loyalty Ventures Inc,Media,US,53.407283
LYRA,Lyra Therapeutics Inc,Pharmaceuticals,US,186.18419127551024
LYT,Lytus Technologies Holdings Ptv Ltd,Media,IN,70.78019178157896
LYTS,LSI Industries Inc,Electrical Equipment,US,208.9751303783784
LZ,LegalZoom.com Inc,Professional Services,US,1887.2225326461844
MAAQ,Mana Capital Acquisition Corp,N/A,US,81.25000298210738
MACA,Moringa Acquisition Corp,N/A,US,146.76740099898888
MACK,Merrimack Pharmaceuticals Inc,Biotechnology,US,55.78661156834532
MANH,Manhattan Associates Inc,Technology,US,8584.940709489614
MANT,ManTech International Corp,Professional Services,US,3929.3261191125935
MAPS,WM Technology Inc,Technology,US,348.7256310000001
MAQC,Maquia Capital Acquisition Corp,N/A,US,230.658113
MAR,Marriott International Inc,"Hotels, Restaurants & Leisure",US,50055.550720756735
MARA,Marathon Digital Holdings Inc,Technology,US,1329.3024874526498
MARK,Remark Holdings Inc,Retail,US,40.88534181265822
MASI,Masimo Corp,Health Care,US,7578.538050707875
MASS,908 Devices Inc.,Electrical Equipment,US,554.0916910655737
MAT,Mattel Inc,Leisure Products,US,7799.825388470906
MATW,Matthews International Corp,Commercial Services & Supplies,US,765.4447104442695
MAXN,Maxeon Solar Technologies Ltd,Semiconductors,SG,836.9981675468501
MAYS,J W Mays Inc,Real Estate,US,99.68032003512197
MBCN,Middlefield Banc Corp,Banking,US,156.7022671727612
MBIN,Merchants Bancorp,Financial Services,US,1142.3223173644858
MBIO,Mustang Bio Inc,Biotechnology,US,63.50233279036544
MBOT,Microbot Medical Inc,Health Care,US,35.540664634146346
MBRX,Moleculin Biotech Inc,Biotechnology,US,40.907586
MBTC,Nocturne Acquisition Corp,N/A,US,152.703602998543
