Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-01-01,US,United States of America,AMRO,237016,19818860,3747,355846
2021-01-02,US,United States of America,AMRO,229449,20048309,3755,359601
2021-01-03,US,United States of America,AMRO,227363,20275672,3036,362637
2021-01-04,US,United States of America,AMRO,226346,20502018,2355,364992
2021-01-05,US,United States of America,AMRO,204222,20706240,2045,367037
2021-01-06,US,United States of America,AMRO,174928,20881168,2080,369117
2021-01-07,US,United States of America,AMRO,243474,21124642,3473,372590
2021-01-08,US,United States of America,AMRO,257751,21382393,3869,376459
2021-01-09,US,United States of America,AMRO,269618,21652011,3966,380425
2021-01-10,US,United States of America,AMRO,292681,21944692,3743,384168
2021-01-11,US,United States of America,AMRO,255633,22200325,3344,387512
2021-01-12,US,United States of America,AMRO,223877,22424202,2563,390075
2021-01-13,US,United States of America,AMRO,204157,22628359,2608,392683
2021-01-14,US,United States of America,AMRO,217822,22846181,3591,396274
2021-01-15,US,United States of America,AMRO,227079,23073260,4065,400339
2021-01-16,US,United States of America,AMRO,223092,23296352,3718,404057
2021-01-17,US,United States of America,AMRO,239292,23535644,3403,407460
2021-01-18,US,United States of America,AMRO,212674,23748318,3521,410981
2021-01-19,US,United States of America,AMRO,183911,23932229,2587,413568
2021-01-20,US,United States of America,AMRO,151480,24083709,2299,415867
2021-01-21,US,United States of America,AMRO,150221,24233930,2742,418609
2021-01-22,US,United States of America,AMRO,187766,24421696,3842,422451
2021-01-23,US,United States of America,AMRO,187768,24609464,3836,426287
2021-01-24,US,United States of America,AMRO,190175,24799639,3695,429982
2021-01-25,US,United States of America,AMRO,164384,24964023,2996,432978
2021-01-26,US,United States of America,AMRO,143934,25107957,2480,435458
2021-01-27,US,United States of America,AMRO,134131,25242088,2127,437585
2021-01-28,US,United States of America,AMRO,146456,25388544,3538,441123
2021-01-29,US,United States of America,AMRO,158880,25547424,3976,445099
2021-01-30,US,United States of America,AMRO,155944,25703368,3862,448961
2021-01-31,US,United States of America,AMRO,164318,25867686,3266,452227
2021-02-01,US,United States of America,AMRO,137082,26004768,2772,454999
2021-02-02,US,United States of America,AMRO,112246,26117014,2285,457284
2021-02-03,US,United States of America,AMRO,128925,26245939,2264,459548
2021-02-04,US,United States of America,AMRO,121586,26367525,2964,462512
2021-02-05,US,United States of America,AMRO,108772,26476297,3297,465809
2021-02-06,US,United States of America,AMRO,124640,26600937,3133,468942
2021-02-07,US,United States of America,AMRO,124475,26725412,3358,472300
2021-02-08,US,United States of America,AMRO,108429,26833841,2767,475067
2021-02-09,US,United States of America,AMRO,91684,26925525,1808,476875
2021-02-10,US,United States of America,AMRO,82322,27007847,1705,478580
2021-02-11,US,United States of America,AMRO,91344,27099191,2428,481008
2021-02-12,US,United States of America,AMRO,98840,27198031,2804,483812
2021-02-13,US,United States of America,AMRO,99046,27297077,3233,487045
2021-02-14,US,United States of America,AMRO,97458,27394535,5083,492128
2021-02-15,US,United States of America,AMRO,84608,27479143,3302,495430
2021-02-16,US,United States of America,AMRO,66379,27545522,1560,496990
2021-02-17,US,United States of America,AMRO,58299,27603821,1404,498394
2021-02-18,US,United States of America,AMRO,57404,27661225,1424,499818
2021-02-19,US,United States of America,AMRO,63803,27725028,2159,501977
2021-02-20,US,United States of America,AMRO,68311,27793339,2240,504217
2021-02-21,US,United States of America,AMRO,73443,27866782,2413,506630
2021-02-22,US,United States of America,AMRO,65959,27932741,1874,508504
2021-02-23,US,United States of America,AMRO,55485,27988226,1546,510050
2021-02-24,US,United States of America,AMRO,56439,28044665,1504,511554
2021-02-25,US,United States of America,AMRO,70310,28114975,1695,513249
2021-02-26,US,United States of America,AMRO,72490,28187465,1982,515231
2021-02-27,US,United States of America,AMRO,71635,28259100,2928,518159
2021-02-28,US,United States of America,AMRO,73309,28332409,1917,520076
2021-03-01,US,United States of America,AMRO,68375,28400784,1619,521695
2021-03-02,US,United States of America,AMRO,51961,28452745,1087,522782
2021-03-03,US,United States of America,AMRO,51375,28504120,1253,524035
2021-03-04,US,United States of America,AMRO,53938,28558058,1351,525386
2021-03-05,US,United States of America,AMRO,65820,28623878,1544,526930
2021-03-06,US,United States of America,AMRO,65228,28689106,1555,528485
2021-03-07,US,United States of America,AMRO,63924,28753030,1944,530429
2021-03-08,US,United States of America,AMRO,57400,28810430,1263,531692
2021-03-09,US,United States of America,AMRO,43490,28853920,905,532597
2021-03-10,US,United States of America,AMRO,43352,28897272,822,533419
2021-03-11,US,United States of America,AMRO,53806,28951078,1153,534572
2021-03-12,US,United States of America,AMRO,61763,29012841,1571,536143
2021-03-13,US,United States of America,AMRO,60103,29072944,1323,537466
2021-03-14,US,United States of America,AMRO,63987,29136931,1455,538921
2021-03-15,US,United States of America,AMRO,52101,29189032,968,539889
